atccode,target
R03AK11,Beta-3 adrenergic receptor
R03AL09,Muscarinic acetylcholine receptor M1
R03AL09,Muscarinic acetylcholine receptor M3
R03AL09,Muscarinic acetylcholine receptor M2
R03AL09,Muscarinic acetylcholine receptor M4
R03AL09,Muscarinic acetylcholine receptor M5
R03AL04,Muscarinic acetylcholine receptor M1
R03AL04,Muscarinic acetylcholine receptor M3
R03AL04,Muscarinic acetylcholine receptor M2
R03AL04,Muscarinic acetylcholine receptor M4
R03AL04,Muscarinic acetylcholine receptor M5
R03BB06,Muscarinic acetylcholine receptor M1
R03BB06,Muscarinic acetylcholine receptor M3
R03BB06,Muscarinic acetylcholine receptor M2
R03BB06,Muscarinic acetylcholine receptor M4
R03BB06,Muscarinic acetylcholine receptor M5
D11AA01,Muscarinic acetylcholine receptor M1
D11AA01,Muscarinic acetylcholine receptor M3
D11AA01,Muscarinic acetylcholine receptor M2
D11AA01,Muscarinic acetylcholine receptor M4
D11AA01,Muscarinic acetylcholine receptor M5
A03AB02,Muscarinic acetylcholine receptor M1
A03AB02,Muscarinic acetylcholine receptor M3
A03AB02,Muscarinic acetylcholine receptor M2
A03AB02,Muscarinic acetylcholine receptor M4
A03AB02,Muscarinic acetylcholine receptor M5
R03AL11,Muscarinic acetylcholine receptor M1
R03AL11,Muscarinic acetylcholine receptor M3
R03AL11,Muscarinic acetylcholine receptor M2
R03AL11,Muscarinic acetylcholine receptor M4
R03AL11,Muscarinic acetylcholine receptor M5
R03AL07,Muscarinic acetylcholine receptor M1
R03AL07,Muscarinic acetylcholine receptor M3
R03AL07,Muscarinic acetylcholine receptor M2
R03AL07,Muscarinic acetylcholine receptor M4
R03AL07,Muscarinic acetylcholine receptor M5
A03CA05,Muscarinic acetylcholine receptor M1
A03CA05,Muscarinic acetylcholine receptor M3
A03CA05,Muscarinic acetylcholine receptor M2
A03CA05,Muscarinic acetylcholine receptor M4
A03CA05,Muscarinic acetylcholine receptor M5
R03AL12,Muscarinic acetylcholine receptor M1
R03AL12,Muscarinic acetylcholine receptor M3
R03AL12,Muscarinic acetylcholine receptor M2
R03AL12,Muscarinic acetylcholine receptor M4
R03AL12,Muscarinic acetylcholine receptor M5
L01BC01,DNA polymerase beta
L01BC01,DNA
L01XY01,DNA polymerase beta
L01XY01,DNA
C01CA04,Dopamine D2 receptor
C01CA04,Dopamine D1 receptor
C01CA04,Dopamine D5 receptor
C01CA04,Dopamine D3 receptor
C01CA04,Dopamine D4 receptor
C01CA04,Sodium-dependent dopamine transporter
C01CA04,Dopamine beta-hydroxylase
C01CA04,5-hydroxytryptamine receptor 1A
C01CA04,5-hydroxytryptamine receptor 7
C01CA04,D(1) dopamine receptor
C01CA04,Sodium-dependent noradrenaline transporter
C01CA04,Sodium-dependent serotonin transporter
C01CA04,5-hydroxytryptamine receptor 3A
C01CA04,5-hydroxytryptamine receptor 3B
C01CA04,Superoxide dismutase [Cu-Zn]
C01CA04,Synaptic vesicular amine transporter
N06DA03,Acetylcholinesterase
N06DA03,Cholinesterase
L02BG06,Cytochrome P450 19A1
M01AE12,Prostaglandin G/H synthase 1
M01AE12,Prostaglandin G/H synthase 2
L04AX01,Ras-related C3 botulinum toxin substrate 1
A07AA51,30S ribosomal protein S12
A07AA51,16S ribosomal RNA
A07AA51,Extracellular calcium-sensing receptor
R02AB01,30S ribosomal protein S12
R02AB01,16S ribosomal RNA
R02AB01,Extracellular calcium-sensing receptor
J01GB05,30S ribosomal protein S12
J01GB05,16S ribosomal RNA
J01GB05,Extracellular calcium-sensing receptor
D06AX04,30S ribosomal protein S12
D06AX04,16S ribosomal RNA
D06AX04,Extracellular calcium-sensing receptor
S03AA01,30S ribosomal protein S12
S03AA01,16S ribosomal RNA
S03AA01,Extracellular calcium-sensing receptor
A01AB08,30S ribosomal protein S12
A01AB08,16S ribosomal RNA
A01AB08,Extracellular calcium-sensing receptor
A07AA01,30S ribosomal protein S12
A07AA01,16S ribosomal RNA
A07AA01,Extracellular calcium-sensing receptor
S02AA07,30S ribosomal protein S12
S02AA07,16S ribosomal RNA
S02AA07,Extracellular calcium-sensing receptor
B05CA09,30S ribosomal protein S12
B05CA09,16S ribosomal RNA
B05CA09,Extracellular calcium-sensing receptor
S01AA03,30S ribosomal protein S12
S01AA03,16S ribosomal RNA
S01AA03,Extracellular calcium-sensing receptor
M01CB03,"Peroxiredoxin-5, mitochondrial"
M01CB03,Inhibitor of nuclear factor kappa-B kinase subunit beta
N03AX12,Voltage-dependent calcium channel subunit alpha-2/delta-1
N03AX12,Voltage-dependent calcium channel subunit alpha-2/delta-2
N03AX12,Voltage-dependent N-type calcium channel
N03AX12,Adenosine receptor A1
N03AX12,Potassium voltage-gated channel subfamily KQT member 3
N03AX12,Potassium voltage-gated channel subfamily KQT member 5
L01DB01,DNA
L01DB01,DNA topoisomerase 2-alpha
L01DB01,Nucleolar and coiled-body phosphoprotein 1
N02CC07,5-hydroxytryptamine receptor 1D
N02CC07,5-hydroxytryptamine receptor 1B
C09BX03,Solute carrier family 12 member 3
C09BX03,Calcium-activated potassium channel subunit alpha-1
C03AX01,Solute carrier family 12 member 3
C03AX01,Calcium-activated potassium channel subunit alpha-1
C03AB03,Solute carrier family 12 member 3
C03AB03,Calcium-activated potassium channel subunit alpha-1
C09DX03,Solute carrier family 12 member 3
C09DX03,Calcium-activated potassium channel subunit alpha-1
C03EA01,Solute carrier family 12 member 3
C03EA01,Calcium-activated potassium channel subunit alpha-1
C09DX06,Solute carrier family 12 member 3
C09DX06,Calcium-activated potassium channel subunit alpha-1
C09XA52,Solute carrier family 12 member 3
C09XA52,Calcium-activated potassium channel subunit alpha-1
G01AE10,Solute carrier family 12 member 3
G01AE10,Calcium-activated potassium channel subunit alpha-1
C09DX01,Solute carrier family 12 member 3
C09DX01,Calcium-activated potassium channel subunit alpha-1
C03AA03,Solute carrier family 12 member 3
C03AA03,Calcium-activated potassium channel subunit alpha-1
C09XA54,Solute carrier family 12 member 3
C09XA54,Calcium-activated potassium channel subunit alpha-1
C09DX07,Solute carrier family 12 member 3
C09DX07,Calcium-activated potassium channel subunit alpha-1
J01CR50,Penicillin-binding protein 1A
J01CR50,Penicillin-binding protein 3
J01CR50,Penicillin binding protein 2a
J01CR50,Penicillin-binding protein
R03AK04,Beta-2 adrenergic receptor
R03AK04,Beta-1 adrenergic receptor
R03AK04,Beta-3 adrenergic receptor
R03AC02,Beta-2 adrenergic receptor
R03AC02,Beta-1 adrenergic receptor
R03AC02,Beta-3 adrenergic receptor
R03CC02,Beta-2 adrenergic receptor
R03CC02,Beta-1 adrenergic receptor
R03CC02,Beta-3 adrenergic receptor
R03AK13,Beta-2 adrenergic receptor
R03AK13,Beta-1 adrenergic receptor
R03AK13,Beta-3 adrenergic receptor
R03AL02,Beta-2 adrenergic receptor
R03AL02,Beta-1 adrenergic receptor
R03AL02,Beta-3 adrenergic receptor
N01BB10,Sodium channel protein type 10 subunit alpha
R03AK05,Protein S100-P
R03AK04,Protein S100-P
R03BC01,Protein S100-P
R01AC51,Protein S100-P
S01GX51,Protein S100-P
R01AC01,Protein S100-P
S01GX01,Protein S100-P
D11AH03,Protein S100-P
A07EB01,Protein S100-P
J05AB06,DNA polymerase catalytic subunit
J05AB06,DNA
J05AB06,Thymidine kinase
S01AD09,DNA polymerase catalytic subunit
S01AD09,DNA
S01AD09,Thymidine kinase
L01XX05,Ribonucleoside-diphosphate reductase large subunit
L02BG04,Cytochrome P450 19A1
G01AF20,Cytochrome P450 51
G01AF20,Lanosterol 14-alpha demethylase
D01AC07,Cytochrome P450 51
D01AC07,Lanosterol 14-alpha demethylase
G01AF08,Cytochrome P450 51
G01AF08,Lanosterol 14-alpha demethylase
L01AB01,DNA
M01AE03,Prostaglandin G/H synthase 1
M01AE03,Prostaglandin G/H synthase 2
M01AE03,C-X-C chemokine receptor type 1
M02AA10,Prostaglandin G/H synthase 1
M02AA10,Prostaglandin G/H synthase 2
M02AA10,C-X-C chemokine receptor type 1
M01AE53,Prostaglandin G/H synthase 1
M01AE53,Prostaglandin G/H synthase 2
M01AE53,C-X-C chemokine receptor type 1
V04CX07,Acetylcholinesterase
V04CX07,Cholinesterase
V04CD01,"Cytochrome P450 11B1, mitochondrial"
V04CD01,Camphor 5-monooxygenase
H05BX01,Extracellular calcium-sensing receptor
A07EC04,Peroxisome proliferator-activated receptor gamma
A07EC04,Prostaglandin G/H synthase 2
A07EC04,Prostaglandin G/H synthase 1
A07EC04,Arachidonate 5-lipoxygenase
J04AM08,Dihydropteroate synthase
J01EE01,Dihydropteroate synthase
G01AE10,Dihydropteroate synthase
J01EC01,Dihydropteroate synthase
A10BB01,"Sulfonylurea receptor 1, Kir6.2"
A10BB01,ATP-binding cassette sub-family C member 9
A10BB01,Bile salt export pump
A10BB01,ATP-binding cassette sub-family A member 1
A10BB01,Mitochondrial ATP-sensitive potassium channel
A10BB01,"Carnitine O-palmitoyltransferase 1, liver isoform"
A10BB01,Cystic fibrosis transmembrane conductance regulator
A10BB01,Transient receptor potential cation channel subfamily M member 4
J01AA08,30S ribosomal protein S9
J01AA08,30S ribosomal protein S4
J01AA08,16S ribosomal RNA
J01AA08,Interleukin-1 beta
J01AA08,Arachidonate 5-lipoxygenase
J01AA08,Matrix metalloproteinase-9
J01AA08,Vascular endothelial growth factor A
J01AA08,Caspase-1
J01AA08,Caspase-3
J01AA08,Cytochrome c
J01AA08,Mitogen-activated Protein Kinases
J01AA08,"Nitric oxide synthase, inducible"
J01AA20,30S ribosomal protein S9
J01AA20,30S ribosomal protein S4
J01AA20,16S ribosomal RNA
J01AA20,Interleukin-1 beta
J01AA20,Arachidonate 5-lipoxygenase
J01AA20,Matrix metalloproteinase-9
J01AA20,Vascular endothelial growth factor A
J01AA20,Caspase-1
J01AA20,Caspase-3
J01AA20,Cytochrome c
J01AA20,Mitogen-activated Protein Kinases
J01AA20,"Nitric oxide synthase, inducible"
A01AB23,30S ribosomal protein S9
A01AB23,30S ribosomal protein S4
A01AB23,16S ribosomal RNA
A01AB23,Interleukin-1 beta
A01AB23,Arachidonate 5-lipoxygenase
A01AB23,Matrix metalloproteinase-9
A01AB23,Vascular endothelial growth factor A
A01AB23,Caspase-1
A01AB23,Caspase-3
A01AB23,Cytochrome c
A01AB23,Mitogen-activated Protein Kinases
A01AB23,"Nitric oxide synthase, inducible"
C02AC02,Alpha-2A adrenergic receptor
C02AC02,Alpha-2B adrenergic receptor
N07AB02,Muscarinic acetylcholine receptor M3
N07AB02,Muscarinic acetylcholine receptor M1
N07AB02,Muscarinic acetylcholine receptor M2
N07AB02,Muscarinic acetylcholine receptor M4
N07AB02,Muscarinic acetylcholine receptor M5
C01DA14,Guanylate cyclase soluble subunit alpha-2
G01AE10,Solute carrier family 12 member 3
G01AE10,Sodium/potassium-transporting ATPase subunit alpha-1
G01AE10,Carbonic anhydrase 1
G01AE10,Carbonic anhydrase 2
G01AE10,Carbonic anhydrase 4
C03AA06,Solute carrier family 12 member 3
C03AA06,Sodium/potassium-transporting ATPase subunit alpha-1
C03AA06,Carbonic anhydrase 1
C03AA06,Carbonic anhydrase 2
C03AA06,Carbonic anhydrase 4
C03EA02,Solute carrier family 12 member 3
C03EA02,Sodium/potassium-transporting ATPase subunit alpha-1
C03EA02,Carbonic anhydrase 1
C03EA02,Carbonic anhydrase 2
C03EA02,Carbonic anhydrase 4
C03AB06,Solute carrier family 12 member 3
C03AB06,Sodium/potassium-transporting ATPase subunit alpha-1
C03AB06,Carbonic anhydrase 1
C03AB06,Carbonic anhydrase 2
C03AB06,Carbonic anhydrase 4
B02BA01,Vitamin K-dependent gamma-carboxylase
B02BA01,Osteocalcin
C07FB02,Voltage-dependent L-type calcium channel subunit alpha-1C
C07FB02,Voltage-dependent calcium channel subunit alpha-2/delta-1
C07FB02,Voltage-dependent L-type calcium channel subunit beta-2
C07FB02,Voltage-dependent L-type calcium channel subunit alpha-1D
C07FB02,Voltage-dependent L-type calcium channel subunit alpha-1S
C07FB02,Voltage-dependent T-type calcium channel subunit alpha-1H
C07FB02,Voltage-dependent calcium channel subunit alpha-2/delta-2
C07FB02,Calmodulin
C07FB02,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
C07FB02,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
C07FB02,Mineralocorticoid receptor
C07FB02,"Troponin C, skeletal muscle"
C07FB02,"Troponin C, slow skeletal and cardiac muscles"
C08CA02,Voltage-dependent L-type calcium channel subunit alpha-1C
C08CA02,Voltage-dependent calcium channel subunit alpha-2/delta-1
C08CA02,Voltage-dependent L-type calcium channel subunit beta-2
C08CA02,Voltage-dependent L-type calcium channel subunit alpha-1D
C08CA02,Voltage-dependent L-type calcium channel subunit alpha-1S
C08CA02,Voltage-dependent T-type calcium channel subunit alpha-1H
C08CA02,Voltage-dependent calcium channel subunit alpha-2/delta-2
C08CA02,Calmodulin
C08CA02,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
C08CA02,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
C08CA02,Mineralocorticoid receptor
C08CA02,"Troponin C, skeletal muscle"
C08CA02,"Troponin C, slow skeletal and cardiac muscles"
C09BB05,Voltage-dependent L-type calcium channel subunit alpha-1C
C09BB05,Voltage-dependent calcium channel subunit alpha-2/delta-1
C09BB05,Voltage-dependent L-type calcium channel subunit beta-2
C09BB05,Voltage-dependent L-type calcium channel subunit alpha-1D
C09BB05,Voltage-dependent L-type calcium channel subunit alpha-1S
C09BB05,Voltage-dependent T-type calcium channel subunit alpha-1H
C09BB05,Voltage-dependent calcium channel subunit alpha-2/delta-2
C09BB05,Calmodulin
C09BB05,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
C09BB05,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
C09BB05,Mineralocorticoid receptor
C09BB05,"Troponin C, skeletal muscle"
C09BB05,"Troponin C, slow skeletal and cardiac muscles"
L04AA06,Inosine-5'-monophosphate dehydrogenase 1
L04AA06,Inosine-5'-monophosphate dehydrogenase 2
A01AD07,Protein S100-A12
A01AD07,Protein S100-A13
A01AD07,Interleukin-3
A01AD07,Fibroblast growth factor 1
R03DX01,Protein S100-A12
R03DX01,Protein S100-A13
R03DX01,Interleukin-3
R03DX01,Fibroblast growth factor 1
G01AF11,Lanosterol 14-alpha demethylase
G01AF11,Androgen receptor
G01AF11,"Steroid 17-alpha-hydroxylase/17,20 lyase"
G01AF11,Steroid 21-hydroxylase
G01AF11,Potassium voltage-gated channel subfamily H member 2
G01AF11,Nuclear receptor subfamily 1 group I member 2
G01AF11,Nuclear receptor subfamily 1 group I member 3
G01AF20,Lanosterol 14-alpha demethylase
G01AF20,Androgen receptor
G01AF20,"Steroid 17-alpha-hydroxylase/17,20 lyase"
G01AF20,Steroid 21-hydroxylase
G01AF20,Potassium voltage-gated channel subfamily H member 2
G01AF20,Nuclear receptor subfamily 1 group I member 2
G01AF20,Nuclear receptor subfamily 1 group I member 3
J02AB02,Lanosterol 14-alpha demethylase
J02AB02,Androgen receptor
J02AB02,"Steroid 17-alpha-hydroxylase/17,20 lyase"
J02AB02,Steroid 21-hydroxylase
J02AB02,Potassium voltage-gated channel subfamily H member 2
J02AB02,Nuclear receptor subfamily 1 group I member 2
J02AB02,Nuclear receptor subfamily 1 group I member 3
D01AC08,Lanosterol 14-alpha demethylase
D01AC08,Androgen receptor
D01AC08,"Steroid 17-alpha-hydroxylase/17,20 lyase"
D01AC08,Steroid 21-hydroxylase
D01AC08,Potassium voltage-gated channel subfamily H member 2
D01AC08,Nuclear receptor subfamily 1 group I member 2
D01AC08,Nuclear receptor subfamily 1 group I member 3
N02BG09,Gamma-aminobutyric acid receptor subunit alpha-1
N02BG09,Glutamate receptor 1
N02BG09,Glycine receptor subunit alpha-1
N02BG09,Calcium-transporting ATPase type 2C member 1
N02BG09,Potassium voltage-gated channel subfamily A member 1
N02BG09,NADH-ubiquinone oxidoreductase chain 1
N02BG09,GABA(A) Receptor
C09CA04,Type-1 angiotensin II receptor
C09CA04,Transcription factor AP-1
C09DB05,Type-1 angiotensin II receptor
C09DB05,Transcription factor AP-1
C09DA04,Type-1 angiotensin II receptor
C09DA04,Transcription factor AP-1
C09DX07,Type-1 angiotensin II receptor
C09DX07,Transcription factor AP-1
L01XX17,DNA topoisomerase 1
L01XX17,"DNA topoisomerase I, mitochondrial"
L01XX17,DNA
M04AB01,Solute carrier family 22 member 6
M04AB01,Solute carrier family 22 member 11
M04AB01,Solute carrier family 22 member 8
M04AB01,Pannexin-1
M04AB01,Taste receptor type 2 member 16
G01AE10,Solute carrier family 22 member 6
G01AE10,Solute carrier family 22 member 11
G01AE10,Solute carrier family 22 member 8
G01AE10,Pannexin-1
G01AE10,Taste receptor type 2 member 16
L01BB02,Hypoxanthine-guanine phosphoribosyltransferase
L01BB02,Amidophosphoribosyltransferase
L01BB02,Inosine-5'-monophosphate dehydrogenase
R03DA20,Hypoxanthine-guanine phosphoribosyltransferase
R03DA20,Amidophosphoribosyltransferase
R03DA20,Inosine-5'-monophosphate dehydrogenase
C01BA02,Sodium channel protein type 5 subunit alpha
C01BA02,DNA (cytosine-5)-methyltransferase 1
C01BA02,Potassium voltage-gated channel subfamily H member 2
G04BD07,Muscarinic acetylcholine receptor M3
G04BD07,Muscarinic acetylcholine receptor M2
G04BD07,Muscarinic acetylcholine receptor M5
G04BD07,Muscarinic acetylcholine receptor M1
G04BD07,Muscarinic acetylcholine receptor M4
N04BD01,Amine oxidase [flavin-containing] B
N04BD01,Amine oxidase [flavin-containing] A
C10BA03,Peroxisome proliferator-activated receptor alpha
C10BA03,Matrix metalloproteinase-25
C10BA03,Nuclear receptor subfamily 1 group I member 2
C10AB05,Peroxisome proliferator-activated receptor alpha
C10AB05,Matrix metalloproteinase-25
C10AB05,Nuclear receptor subfamily 1 group I member 2
C10BA09,Peroxisome proliferator-activated receptor alpha
C10BA09,Matrix metalloproteinase-25
C10BA09,Nuclear receptor subfamily 1 group I member 2
C10BA04,Peroxisome proliferator-activated receptor alpha
C10BA04,Matrix metalloproteinase-25
C10BA04,Nuclear receptor subfamily 1 group I member 2
L04AX02,Protein cereblon
L04AX02,Tumor necrosis factor
L04AX02,Nuclear factor NF-kappa-B p105 subunit
L04AX02,DNA
L04AX02,Fibroblast growth factor receptor 2
L04AX02,Prostaglandin G/H synthase 2
L04AX02,alpha1-acid glycoprotein
L01AA03,DNA
N06DA52,5-hydroxytryptamine receptor 3A
N06DA52,Alpha-7 nicotinic cholinergic receptor subunit
N06DA52,Dopamine D2 receptor
N06DA52,"Glutamate receptor ionotropic, NMDA 1"
N06DA52,Glutamate (NMDA) receptor
N06DA52,GABA(A) Receptor
N06DA52,Glycine receptors
N06DX01,5-hydroxytryptamine receptor 3A
N06DX01,Alpha-7 nicotinic cholinergic receptor subunit
N06DX01,Dopamine D2 receptor
N06DX01,"Glutamate receptor ionotropic, NMDA 1"
N06DX01,Glutamate (NMDA) receptor
N06DX01,GABA(A) Receptor
N06DX01,Glycine receptors
N06DA53,5-hydroxytryptamine receptor 3A
N06DA53,Alpha-7 nicotinic cholinergic receptor subunit
N06DA53,Dopamine D2 receptor
N06DA53,"Glutamate receptor ionotropic, NMDA 1"
N06DA53,Glutamate (NMDA) receptor
N06DA53,GABA(A) Receptor
N06DA53,Glycine receptors
S01AE06,DNA gyrase subunit A
S01AE06,DNA gyrase subunit B
S01AE06,DNA topoisomerase 4 subunit A
S01AE06,DNA topoisomerase 4 subunit B
J01MA16,DNA gyrase subunit A
J01MA16,DNA gyrase subunit B
J01MA16,DNA topoisomerase 4 subunit A
J01MA16,DNA topoisomerase 4 subunit B
J04AM02,DNA-directed RNA polymerase subunit beta
J04AM02,Nuclear receptor subfamily 1 group I member 2
J04AB02,DNA-directed RNA polymerase subunit beta
J04AB02,Nuclear receptor subfamily 1 group I member 2
J04AM06,DNA-directed RNA polymerase subunit beta
J04AM06,Nuclear receptor subfamily 1 group I member 2
J04AM05,DNA-directed RNA polymerase subunit beta
J04AM05,Nuclear receptor subfamily 1 group I member 2
J04AM07,DNA-directed RNA polymerase subunit beta
J04AM07,Nuclear receptor subfamily 1 group I member 2
A06AX03,Chloride channel protein 2
C05AA11,Glucocorticoid receptor
C05AA11,Smoothened homolog
D07AC08,Glucocorticoid receptor
D07AC08,Smoothened homolog
D07CC05,Glucocorticoid receptor
D07CC05,Smoothened homolog
J05AR13,Reverse transcriptase/RNaseH
J05AR13,"HLA class I histocompatibility antigen, B-57 alpha chain"
J05AR02,Reverse transcriptase/RNaseH
J05AR02,"HLA class I histocompatibility antigen, B-57 alpha chain"
J05AR04,Reverse transcriptase/RNaseH
J05AR04,"HLA class I histocompatibility antigen, B-57 alpha chain"
J05AF06,Reverse transcriptase/RNaseH
J05AF06,"HLA class I histocompatibility antigen, B-57 alpha chain"
G02CC01,Prostaglandin G/H synthase 2
G02CC01,Prostaglandin G/H synthase 1
G02CC01,Apoptosis regulator Bcl-2
G02CC01,Thrombomodulin
G02CC01,"Fatty acid-binding protein, intestinal"
G02CC01,Peroxisome proliferator-activated receptor gamma
G02CC01,Cystic fibrosis transmembrane conductance regulator
G02CC01,Peroxisome proliferator-activated receptor alpha
G02CC01,Platelet glycoprotein Ib alpha chain
G02CC01,Protein S100-A7
C01EB16,Prostaglandin G/H synthase 2
C01EB16,Prostaglandin G/H synthase 1
C01EB16,Apoptosis regulator Bcl-2
C01EB16,Thrombomodulin
C01EB16,"Fatty acid-binding protein, intestinal"
C01EB16,Peroxisome proliferator-activated receptor gamma
C01EB16,Cystic fibrosis transmembrane conductance regulator
C01EB16,Peroxisome proliferator-activated receptor alpha
C01EB16,Platelet glycoprotein Ib alpha chain
C01EB16,Protein S100-A7
M01AE01,Prostaglandin G/H synthase 2
M01AE01,Prostaglandin G/H synthase 1
M01AE01,Apoptosis regulator Bcl-2
M01AE01,Thrombomodulin
M01AE01,"Fatty acid-binding protein, intestinal"
M01AE01,Peroxisome proliferator-activated receptor gamma
M01AE01,Cystic fibrosis transmembrane conductance regulator
M01AE01,Peroxisome proliferator-activated receptor alpha
M01AE01,Platelet glycoprotein Ib alpha chain
M01AE01,Protein S100-A7
M02AA13,Prostaglandin G/H synthase 2
M02AA13,Prostaglandin G/H synthase 1
M02AA13,Apoptosis regulator Bcl-2
M02AA13,Thrombomodulin
M02AA13,"Fatty acid-binding protein, intestinal"
M02AA13,Peroxisome proliferator-activated receptor gamma
M02AA13,Cystic fibrosis transmembrane conductance regulator
M02AA13,Peroxisome proliferator-activated receptor alpha
M02AA13,Platelet glycoprotein Ib alpha chain
M02AA13,Protein S100-A7
R02AX02,Prostaglandin G/H synthase 2
R02AX02,Prostaglandin G/H synthase 1
R02AX02,Apoptosis regulator Bcl-2
R02AX02,Thrombomodulin
R02AX02,"Fatty acid-binding protein, intestinal"
R02AX02,Peroxisome proliferator-activated receptor gamma
R02AX02,Cystic fibrosis transmembrane conductance regulator
R02AX02,Peroxisome proliferator-activated receptor alpha
R02AX02,Platelet glycoprotein Ib alpha chain
R02AX02,Protein S100-A7
N02AJ08,Prostaglandin G/H synthase 2
N02AJ08,Prostaglandin G/H synthase 1
N02AJ08,Apoptosis regulator Bcl-2
N02AJ08,Thrombomodulin
N02AJ08,"Fatty acid-binding protein, intestinal"
N02AJ08,Peroxisome proliferator-activated receptor gamma
N02AJ08,Cystic fibrosis transmembrane conductance regulator
N02AJ08,Peroxisome proliferator-activated receptor alpha
N02AJ08,Platelet glycoprotein Ib alpha chain
N02AJ08,Protein S100-A7
N02AJ19,Prostaglandin G/H synthase 2
N02AJ19,Prostaglandin G/H synthase 1
N02AJ19,Apoptosis regulator Bcl-2
N02AJ19,Thrombomodulin
N02AJ19,"Fatty acid-binding protein, intestinal"
N02AJ19,Peroxisome proliferator-activated receptor gamma
N02AJ19,Cystic fibrosis transmembrane conductance regulator
N02AJ19,Peroxisome proliferator-activated receptor alpha
N02AJ19,Platelet glycoprotein Ib alpha chain
N02AJ19,Protein S100-A7
M01AE51,Prostaglandin G/H synthase 2
M01AE51,Prostaglandin G/H synthase 1
M01AE51,Apoptosis regulator Bcl-2
M01AE51,Thrombomodulin
M01AE51,"Fatty acid-binding protein, intestinal"
M01AE51,Peroxisome proliferator-activated receptor gamma
M01AE51,Cystic fibrosis transmembrane conductance regulator
M01AE51,Peroxisome proliferator-activated receptor alpha
M01AE51,Platelet glycoprotein Ib alpha chain
M01AE51,Protein S100-A7
J01CR50,Penicillin-binding protein 3
J01CR50,Solute carrier family 22 member 8
J01CR50,Solute carrier family 15 member 1
J01CR50,Solute carrier family 15 member 2
J01CE01,Penicillin-binding protein 3
J01CE01,Solute carrier family 22 member 8
J01CE01,Solute carrier family 15 member 1
J01CE01,Solute carrier family 15 member 2
S01AA14,Penicillin-binding protein 3
S01AA14,Solute carrier family 22 member 8
S01AA14,Solute carrier family 15 member 1
S01AA14,Solute carrier family 15 member 2
J01CE08,Penicillin-binding protein 3
J01CE08,Solute carrier family 22 member 8
J01CE08,Solute carrier family 15 member 1
J01CE08,Solute carrier family 15 member 2
C08CA08,Voltage-dependent L-type calcium channel subunit alpha-1C
C08CA08,Voltage-dependent calcium channel subunit alpha-2/delta-1
C08CA08,Voltage-dependent L-type calcium channel subunit beta-2
C08CA08,Voltage-dependent L-type calcium channel subunit alpha-1D
C08CA08,Voltage-dependent L-type calcium channel subunit alpha-1S
C08CA08,Voltage-dependent calcium channel subunit alpha-2/delta-2
C08CA08,Voltage-dependent T-type calcium channel subunit alpha-1H
C09BB06,Voltage-dependent L-type calcium channel subunit alpha-1C
C09BB06,Voltage-dependent calcium channel subunit alpha-2/delta-1
C09BB06,Voltage-dependent L-type calcium channel subunit beta-2
C09BB06,Voltage-dependent L-type calcium channel subunit alpha-1D
C09BB06,Voltage-dependent L-type calcium channel subunit alpha-1S
C09BB06,Voltage-dependent calcium channel subunit alpha-2/delta-2
C09BB06,Voltage-dependent T-type calcium channel subunit alpha-1H
C01BB03,Sodium channel protein type 5 subunit alpha
S01EB03,Cholinesterase
P02BA01,Schistosome calcium ion (Ca2+) channels
J01RA13,DNA topoisomerase 4 subunit A
J01RA13,DNA gyrase subunit A
J01RA13,DNA topoisomerase 2-alpha
S01AE02,DNA topoisomerase 4 subunit A
S01AE02,DNA gyrase subunit A
S01AE02,DNA topoisomerase 2-alpha
J01MA06,DNA topoisomerase 4 subunit A
J01MA06,DNA gyrase subunit A
J01MA06,DNA topoisomerase 2-alpha
A02BD12,Penicillin binding protein
A02BD14,Penicillin binding protein
J01CR50,Penicillin binding protein
A02BD04,Penicillin binding protein
A02BD07,Penicillin binding protein
A02BD13,Penicillin binding protein
A02BD10,Penicillin binding protein
A02BD05,Penicillin binding protein
A02BD03,Penicillin binding protein
A02BD01,Penicillin binding protein
A02BD15,Penicillin binding protein
A02BD06,Penicillin binding protein
J01CA04,Penicillin binding protein
A02BD11,Penicillin binding protein
J01CR50,Penicillin-binding protein 1A
J01CA09,Penicillin-binding protein 1A
G04BD04,Muscarinic acetylcholine receptor M3
G04BD04,Muscarinic acetylcholine receptor M2
G04BD04,Muscarinic acetylcholine receptor M1
N05AB07,Dopamine D2 receptor
N05AB07,Androgen receptor
C01CA02,Beta-1 adrenergic receptor
C01CA02,Beta-2 adrenergic receptor
C01CA02,Beta-3 adrenergic receptor
C01CA02,Superoxide dismutase [Cu-Zn]
R03AK02,Beta-1 adrenergic receptor
R03AK02,Beta-2 adrenergic receptor
R03AK02,Beta-3 adrenergic receptor
R03AK02,Superoxide dismutase [Cu-Zn]
R03AB02,Beta-1 adrenergic receptor
