drugid,target
DB01231,Muscarinic acetylcholine receptor M2
APRD00929,Muscarinic acetylcholine receptor M1
APRD00929,Muscarinic acetylcholine receptor M3
APRD00929,Muscarinic acetylcholine receptor M2
DB01232,Human immunodeficiency virus type 1 protease
APRD00623,Human immunodeficiency virus type 1 protease
DB01233,Dopamine D2 receptor
DB01233,Muscarinic acetylcholine receptor M1
DB01233,5-hydroxytryptamine receptor 4
DB01233,5-hydroxytryptamine receptor 3A
APRD00665,Dopamine D2 receptor
APRD00665,Muscarinic acetylcholine receptor M1
APRD00665,5-hydroxytryptamine receptor 4
APRD00665,5-hydroxytryptamine receptor 3A
DB01234,Glucocorticoid receptor
DB01234,Nuclear receptor subfamily 0 group B member 1
DB01234,Annexin A1
DB01234,"Nitric oxide synthase, inducible"
DB01234,Nuclear receptor subfamily 1 group I member 2
APRD00674,Glucocorticoid receptor
APRD00674,Nuclear receptor subfamily 0 group B member 1
APRD00674,Annexin A1
APRD00674,"Nitric oxide synthase, inducible"
APRD00674,Nuclear receptor subfamily 1 group I member 2
DB01235,Dopamine D1 receptor
DB01235,Dopamine D5 receptor
DB01235,Dopamine D2 receptor
DB01235,Dopamine D3 receptor
DB01235,Dopamine D4 receptor
APRD00309,Dopamine D1 receptor
APRD00309,Dopamine D5 receptor
APRD00309,Dopamine D2 receptor
APRD00309,Dopamine D3 receptor
APRD00309,Dopamine D4 receptor
EXPT01107,Dopamine D1 receptor
EXPT01107,Dopamine D5 receptor
EXPT01107,Dopamine D2 receptor
EXPT01107,Dopamine D3 receptor
EXPT01107,Dopamine D4 receptor
DB01236,Gamma-aminobutyric acid receptor subunit alpha-1
DB01236,Glycine receptor subunit alpha-1
DB01236,Glutamate receptor 1
DB01236,Calcium-transporting ATPase type 2C member 1
DB01236,NADH-ubiquinone oxidoreductase chain 1
DB01236,GABA(A) Receptor
DB01236,Mitochondrial potassium channel
APRD00219,Gamma-aminobutyric acid receptor subunit alpha-1
APRD00219,Glycine receptor subunit alpha-1
APRD00219,Glutamate receptor 1
APRD00219,Calcium-transporting ATPase type 2C member 1
APRD00219,NADH-ubiquinone oxidoreductase chain 1
APRD00219,GABA(A) Receptor
APRD00219,Mitochondrial potassium channel
DB01237,Histamine H1 receptor
APRD00710,Histamine H1 receptor
DB01238,5-hydroxytryptamine receptor 1A
DB01238,Dopamine D2 receptor
DB01238,5-hydroxytryptamine receptor 2A
DB01238,Alpha-1A adrenergic receptor
DB01238,Alpha-1B adrenergic receptor
DB01238,Dopamine D3 receptor
DB01238,5-hydroxytryptamine receptor 1D
DB01238,5-hydroxytryptamine receptor 7
DB01238,Alpha-2A adrenergic receptor
DB01238,Alpha-2C adrenergic receptor
DB01238,Histamine H1 receptor
DB01238,5-hydroxytryptamine receptor 1B
DB01238,5-hydroxytryptamine receptor 2C
DB01238,5-hydroxytryptamine receptor 3A
DB01238,5-hydroxytryptamine receptor 6
DB01238,Dopamine D1 receptor
DB01238,Dopamine D4 receptor
DB01238,Alpha-2B adrenergic receptor
DB01238,5-hydroxytryptamine receptor 1E
DB01238,Dopamine D5 receptor
DB01238,5-hydroxytryptamine receptor 2B
DB01238,5-hydroxytryptamine receptor 5A
DB01238,Beta-1 adrenergic receptor
DB01238,Beta-2 adrenergic receptor
DB01238,Histamine H2 receptor
DB01238,Histamine H3 receptor
DB01238,Histamine H4 receptor
DB01238,Muscarinic acetylcholine receptor M1
DB01238,Muscarinic acetylcholine receptor M2
DB01238,Muscarinic acetylcholine receptor M3
DB01238,Muscarinic acetylcholine receptor M4
DB01238,Muscarinic acetylcholine receptor M5
DB01238,Kappa-type opioid receptor
DB01238,Mu-type opioid receptor
DB01238,Delta-type opioid receptor
DB01238,Glutamate (NMDA) receptor
DB01238,Sodium-dependent dopamine transporter
DB01238,Sodium-dependent serotonin transporter
APRD00638,5-hydroxytryptamine receptor 1A
APRD00638,Dopamine D2 receptor
APRD00638,5-hydroxytryptamine receptor 2A
APRD00638,Alpha-1A adrenergic receptor
APRD00638,Alpha-1B adrenergic receptor
APRD00638,Dopamine D3 receptor
APRD00638,5-hydroxytryptamine receptor 1D
APRD00638,5-hydroxytryptamine receptor 7
APRD00638,Alpha-2A adrenergic receptor
APRD00638,Alpha-2C adrenergic receptor
APRD00638,Histamine H1 receptor
APRD00638,5-hydroxytryptamine receptor 1B
APRD00638,5-hydroxytryptamine receptor 2C
APRD00638,5-hydroxytryptamine receptor 3A
APRD00638,5-hydroxytryptamine receptor 6
APRD00638,Dopamine D1 receptor
APRD00638,Dopamine D4 receptor
APRD00638,Alpha-2B adrenergic receptor
APRD00638,5-hydroxytryptamine receptor 1E
APRD00638,Dopamine D5 receptor
APRD00638,5-hydroxytryptamine receptor 2B
APRD00638,5-hydroxytryptamine receptor 5A
APRD00638,Beta-1 adrenergic receptor
APRD00638,Beta-2 adrenergic receptor
APRD00638,Histamine H2 receptor
APRD00638,Histamine H3 receptor
APRD00638,Histamine H4 receptor
APRD00638,Muscarinic acetylcholine receptor M1
APRD00638,Muscarinic acetylcholine receptor M2
APRD00638,Muscarinic acetylcholine receptor M3
APRD00638,Muscarinic acetylcholine receptor M4
APRD00638,Muscarinic acetylcholine receptor M5
APRD00638,Kappa-type opioid receptor
APRD00638,Mu-type opioid receptor
APRD00638,Delta-type opioid receptor
APRD00638,Glutamate (NMDA) receptor
APRD00638,Sodium-dependent dopamine transporter
APRD00638,Sodium-dependent serotonin transporter
DB01239,Dopamine D2 receptor
DB01239,Dopamine D1 receptor
DB01239,Dopamine D3 receptor
DB01239,5-hydroxytryptamine receptor 2A
DB01239,Histamine H1 receptor
DB01239,Muscarinic acetylcholine receptor M1
DB01239,Muscarinic acetylcholine receptor M2
DB01239,Muscarinic acetylcholine receptor M3
DB01239,Muscarinic acetylcholine receptor M4
DB01239,Muscarinic acetylcholine receptor M5
DB01239,Serotonin Receptors
APRD00718,Dopamine D2 receptor
APRD00718,Dopamine D1 receptor
APRD00718,Dopamine D3 receptor
APRD00718,5-hydroxytryptamine receptor 2A
APRD00718,Histamine H1 receptor
APRD00718,Muscarinic acetylcholine receptor M1
APRD00718,Muscarinic acetylcholine receptor M2
APRD00718,Muscarinic acetylcholine receptor M3
APRD00718,Muscarinic acetylcholine receptor M4
APRD00718,Muscarinic acetylcholine receptor M5
APRD00718,Serotonin Receptors
DB01240,P2Y purinoceptor 12
DB01240,Prostacyclin receptor
DB01240,Prostacyclin synthase
APRD00949,P2Y purinoceptor 12
APRD00949,Prostacyclin receptor
APRD00949,Prostacyclin synthase
DB01241,Peroxisome proliferator-activated receptor alpha
DB01241,Solute carrier organic anion transporter family member 1B1
DB01241,Solute carrier family 22 member 8
DB01241,Solute carrier organic anion transporter family member 2B1
DB01241,Solute carrier organic anion transporter family member 1B3
APRD00293,Peroxisome proliferator-activated receptor alpha
APRD00293,Solute carrier organic anion transporter family member 1B1
APRD00293,Solute carrier family 22 member 8
APRD00293,Solute carrier organic anion transporter family member 2B1
APRD00293,Solute carrier organic anion transporter family member 1B3
DB01242,Sodium-dependent serotonin transporter
DB01242,5-hydroxytryptamine receptor 2A
DB01242,5-hydroxytryptamine receptor 2B
DB01242,5-hydroxytryptamine receptor 2C
DB01242,Sodium-dependent noradrenaline transporter
DB01242,Glutathione S-transferase P
APRD00253,Sodium-dependent serotonin transporter
APRD00253,5-hydroxytryptamine receptor 2A
APRD00253,5-hydroxytryptamine receptor 2B
APRD00253,5-hydroxytryptamine receptor 2C
APRD00253,Sodium-dependent noradrenaline transporter
APRD00253,Glutathione S-transferase P
DB07600,Sodium-dependent serotonin transporter
DB07600,5-hydroxytryptamine receptor 2A
DB07600,5-hydroxytryptamine receptor 2B
DB07600,5-hydroxytryptamine receptor 2C
DB07600,Sodium-dependent noradrenaline transporter
DB07600,Glutathione S-transferase P
DB01244,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
DB01244,Voltage-dependent T-type calcium channel subunit alpha-1H
DB01244,Voltage-dependent calcium channel subunit alpha-2/delta-2
DB01244,Sodium/potassium-transporting ATPase subunit alpha-1
DB01244,Potassium voltage-gated channel subfamily KQT member 1
DB01244,"Troponin C, slow skeletal and cardiac muscles"
DB01244,Calmodulin
DB01244,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
DB01244,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
DB01244,Potassium voltage-gated channel subfamily H member 2
APRD00727,Voltage-dependent P/Q-type calcium channel subunit alpha-1A
APRD00727,Voltage-dependent T-type calcium channel subunit alpha-1H
APRD00727,Voltage-dependent calcium channel subunit alpha-2/delta-2
APRD00727,Sodium/potassium-transporting ATPase subunit alpha-1
APRD00727,Potassium voltage-gated channel subfamily KQT member 1
APRD00727,"Troponin C, slow skeletal and cardiac muscles"
APRD00727,Calmodulin
APRD00727,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B"
APRD00727,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"
APRD00727,Potassium voltage-gated channel subfamily H member 2
DB01245,Neuronal acetylcholine receptor subunit alpha-2
DB01245,Acetylcholinesterase
DB01245,Neuronal acetylcholine receptor subunit alpha-4
DB01245,Neuronal acetylcholine receptor subunit beta-2
APRD00696,Neuronal acetylcholine receptor subunit alpha-2
APRD00696,Acetylcholinesterase
APRD00696,Neuronal acetylcholine receptor subunit alpha-4
APRD00696,Neuronal acetylcholine receptor subunit beta-2
DB01246,Histamine H1 receptor
APRD00258,Histamine H1 receptor
DB01247,Amine oxidase [flavin-containing] A
DB01247,Amine oxidase [flavin-containing] B
APRD00701,Amine oxidase [flavin-containing] A
APRD00701,Amine oxidase [flavin-containing] B
DB01248,Tubulin beta-1 chain
DB01248,Apoptosis regulator Bcl-2
DB01248,Microtubule-associated protein 2
DB01248,Microtubule-associated protein 4
DB01248,Microtubule-associated protein tau
DB01248,Nuclear receptor subfamily 1 group I member 2
APRD00932,Tubulin beta-1 chain
APRD00932,Apoptosis regulator Bcl-2
APRD00932,Microtubule-associated protein 2
APRD00932,Microtubule-associated protein 4
APRD00932,Microtubule-associated protein tau
APRD00932,Nuclear receptor subfamily 1 group I member 2
DB01250,Thiopurine S-methyltransferase
DB01250,Interferon gamma
DB01251,ATP-binding cassette sub-family C member 8
DB01251,ATP-sensitive inward rectifier potassium channel 8
DB01252,ATP-binding cassette sub-family C member 8
DB01252,Peroxisome proliferator-activated receptor gamma
DB01253,Alpha-1A adrenergic receptor
DB01254,Tyrosine-protein kinase ABL1
DB01254,Proto-oncogene tyrosine-protein kinase Src
DB01254,Ephrin type-A receptor 2
DB01254,Tyrosine-protein kinase Lck
DB01254,Tyrosine-protein kinase Yes
DB01254,Mast/stem cell growth factor receptor Kit
DB01254,Platelet-derived growth factor receptor beta
DB01254,Signal transducer and activator of transcription 5B
DB01254,Abelson tyrosine-protein kinase 2
DB01254,Tyrosine-protein kinase Fyn
DB01254,Tyrosine-protein kinase BTK
DB01254,Nuclear receptor subfamily 4 group A member 3
DB01254,Breakpoint cluster region protein
DB01254,Tyrosine-protein kinase CSK
DB01254,Ephrin type-A receptor 5
DB01254,Ephrin type-B receptor 4
DB01254,Tyrosine-protein kinase Fgr
DB01254,Tyrosine-protein kinase FRK
DB01254,Heat shock cognate 71 kDa protein
DB01254,Tyrosine-protein kinase Lyn
DB01254,Mitogen-activated protein kinase kinase kinase MLT
DB01254,Mitogen-activated protein kinase 14
DB01254,Amidophosphoribosyltransferase
DB01255,Trace amine-associated receptor 1
DB01256,50S ribosomal protein L3
DB01257,Complement C5
DB01259,Epidermal growth factor receptor
DB01259,Receptor tyrosine-protein kinase erbB-2
DB02584,Epidermal growth factor receptor
DB02584,Receptor tyrosine-protein kinase erbB-2
DB01260,Glucocorticoid receptor
DB01261,Dipeptidyl peptidase 4
DB07214,Dipeptidyl peptidase 4
DB01262,DNA
DB01262,DNA (cytosine-5)-methyltransferase 1
DB01262,DNA (cytosine-5)-methyltransferase 3A
DB01262,DNA (cytosine-5)-methyltransferase 3B
DB01263,Cytochrome P450 51
DB01264,Human immunodeficiency virus type 1 protease
EXPT00002,Human immunodeficiency virus type 1 protease
DB01265,Protein P
DB01265,DNA
DB01267,5-hydroxytryptamine receptor 2A
DB01267,Dopamine D2 receptor
DB01267,Histamine H1 receptor
DB01267,Alpha-1A adrenergic receptor
DB01267,Alpha-1B adrenergic receptor
DB01267,Dopamine D4 receptor
DB01267,5-hydroxytryptamine receptor 1D
DB01267,Dopamine D3 receptor
DB01267,5-hydroxytryptamine receptor 2C
DB01267,Alpha-2A adrenergic receptor
DB01267,Alpha-2B adrenergic receptor
DB01267,Alpha-2C adrenergic receptor
DB01267,5-hydroxytryptamine receptor 1A
DB01267,Dopamine D1 receptor
DB01267,5-hydroxytryptamine receptor 7
DB01268,Platelet-derived growth factor receptor beta
DB01268,Vascular endothelial growth factor receptor 1
DB01268,Mast/stem cell growth factor receptor Kit
DB01268,Vascular endothelial growth factor receptor 2
DB01268,Vascular endothelial growth factor receptor 3
DB01268,Receptor-type tyrosine-protein kinase FLT3
DB01268,Macrophage colony-stimulating factor 1 receptor
DB01268,Platelet-derived growth factor receptor alpha
DB07417,Platelet-derived growth factor receptor beta
DB07417,Vascular endothelial growth factor receptor 1
DB07417,Mast/stem cell growth factor receptor Kit
DB07417,Vascular endothelial growth factor receptor 2
DB07417,Vascular endothelial growth factor receptor 3
DB07417,Receptor-type tyrosine-protein kinase FLT3
DB07417,Macrophage colony-stimulating factor 1 receptor
DB07417,Platelet-derived growth factor receptor alpha
DB01269,Epidermal growth factor receptor
DB01270,Vascular endothelial growth factor A
DB01271,Dermatan sulfate
DB01271,Heparan sulfate
DB01271,Perilipin-3
DB01272,Cation-dependent mannose-6-phosphate receptor
DB01272,Glycogen
DB01273,Neuronal acetylcholine receptor subunit alpha-4
DB01273,Neuronal acetylcholine receptor subunit alpha-7
DB01273,Neuronal acetylcholine receptor subunit alpha-3
DB01273,Neuronal acetylcholine receptor subunit alpha-6
DB01273,Neuronal acetylcholine receptor subunit beta-2
DB01274,Beta-2 adrenergic receptor
DB01275,Membrane primary amine oxidase
DB01275,Prolyl 4-hydroxylase subunit alpha-1
DB01275,Hypoxia-inducible factor 1-alpha
DB01276,Glucagon-like peptide 1 receptor
DB01277,Insulin-like growth factor 1 receptor
DB01277,Insulin-like growth factor-binding protein 3
DB01277,Insulin receptor
DB01277,Cation-independent mannose-6-phosphate receptor
DB01278,Calcitonin receptor
DB01278,Receptor activity-modifying protein 1
DB01278,Receptor activity-modifying protein 2
DB01278,Receptor activity-modifying protein 3
DB01279,Dermatan sulfate
DB01279,Perilipin-3
DB01280,DNA
DB01280,DNA polymerase alpha catalytic subunit
DB01281,T-lymphocyte activation antigen CD80
DB01281,T-lymphocyte activation antigen CD86
DB01282,Oxytocin receptor
DB01283,Prostaglandin G/H synthase 2
DB01283,Prostaglandin G/H synthase 1
DB01284,Adrenocorticotropic hormone receptor
DB01285,Adrenocorticotropic hormone receptor
DB01285,Corticoliberin
DB09547,Adrenocorticotropic hormone receptor
DB09547,Corticoliberin
DB01288,Beta-2 adrenergic receptor
DB01288,Beta-1 adrenergic receptor
DB01288,Beta-3 adrenergic receptor
DB01289,ATP-sensitive inward rectifier potassium channel 8
DB01291,Beta-2 adrenergic receptor
DB01291,Beta-1 adrenergic receptor
DB01295,Beta-1 adrenergic receptor
DB01295,Beta-2 adrenergic receptor
DB01295,Alpha-1A adrenergic receptor
DB01296,Interferon gamma
DB01296,Transcription factor p65
EXPT01563,Interferon gamma
EXPT01563,Transcription factor p65
DB01297,Beta-1 adrenergic receptor
DB01298,Dihydropteroate synthase
DB01299,Dihydropteroate synthetase
DB01299,Bifunctional dihydrofolate reductase-thymidylate synthase
DB01301,30S ribosomal protein S9
DB01301,16S ribosomal RNA
DB01303,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"
DB01303,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
DB01303,Adenosine receptor A2a
DB01303,Adenosine receptor A1
DB01303,Histone deacetylase 2
DB01306,Insulin receptor
DB01306,Insulin-like growth factor 1 receptor
DB01307,Insulin receptor
DB01307,Insulin-like growth factor 1 receptor
DB01309,Insulin receptor
DB01309,Insulin-like growth factor 1 receptor
DB01319,Human immunodeficiency virus type 1 protease
DB01320,Sodium channel protein type 5 subunit alpha
DB01321,50S ribosomal protein L4
DB01324,Solute carrier family 12 member 3
DB01325,Carbonic anhydrase 1
DB01325,Carbonic anhydrase 2
DB01325,Solute carrier family 12 member 1
DB01325,Solute carrier family 12 member 2
DB01325,Solute carrier family 12 member 3
DB01326,Penicillin-binding protein 2
DB01327,Penicillin-binding protein 1A
DB01327,Penicillin-binding protein 1B
DB01327,Penicillin-binding protein 1C
DB01327,Penicillin-binding protein 2
DB01327,Peptidoglycan synthase FtsI
DB01327,Serum paraoxonase/arylesterase 1
DB01327,Interleukin-15
DB01327,Interleukin-2
DB01328,Penicillin-binding protein 1A
DB01328,Peptidoglycan synthase FtsI
DB01328,Penicillin-binding protein 1B
DB01328,D-alanyl-D-alanine carboxypeptidase DacB
DB01328,Penicillin-binding protein 2
DB01329,Peptidoglycan synthase FtsI
DB01329,Penicillin-binding protein 1B
DB01329,Penicillin-binding protein 2
DB01329,Penicillin-binding protein 1A
DB01329,Penicillin-binding protein 1B
DB01329,D-alanyl-D-alanine carboxypeptidase DacC
DB01329,Penicillin-binding protein 1A
DB01329,D-alanyl-D-alanine carboxypeptidase DacA
DB01329,D-alanyl-D-alanine carboxypeptidase DacB
DB01330,Penicillin-binding protein 3
DB01331,D-alanyl-D-alanine carboxypeptidase DacC
DB01331,D-alanyl-D-alanine carboxypeptidase DacA
DB01331,D-alanyl-D-alanine endopeptidase
DB01331,D-alanyl-D-alanine carboxypeptidase DacB
DB01331,Penicillin-binding protein 1A
DB01331,Penicillin-binding protein 1B
DB01331,Peptidoglycan synthase FtsI
DB01331,Penicillin-binding protein 3
DB01331,Penicillin-binding protein 1b
DB01331,Penicillin-binding protein 2a
DB01331,Penicillin-binding protein 1A
DB01331,Penicillin-binding protein 2B
EXPT00897,D-alanyl-D-alanine carboxypeptidase DacC
EXPT00897,D-alanyl-D-alanine carboxypeptidase DacA
EXPT00897,D-alanyl-D-alanine endopeptidase
EXPT00897,D-alanyl-D-alanine carboxypeptidase DacB
EXPT00897,Penicillin-binding protein 1A
EXPT00897,Penicillin-binding protein 1B
EXPT00897,Peptidoglycan synthase FtsI
EXPT00897,Penicillin-binding protein 3
EXPT00897,Penicillin-binding protein 1b
EXPT00897,Penicillin-binding protein 2a
EXPT00897,Penicillin-binding protein 1A
EXPT00897,Penicillin-binding protein 2B
DB01332,Penicillin-binding protein 1A
DB01332,Penicillin-binding protein 1B
DB01332,Peptidoglycan transpeptidase
DB01332,D-alanyl-D-alanine carboxypeptidase DacC
DB01333,Penicillin-binding protein 1A
DB01336,Neuronal acetylcholine receptor subunit alpha-2
DB01336,Muscarinic acetylcholine receptor M2
DB01337,Neuronal acetylcholine receptor subunit alpha-2
DB01337,Muscarinic acetylcholine receptor M2
DB01337,Muscarinic acetylcholine receptor M3
DB01338,Neuronal acetylcholine receptor subunit alpha-2
DB01338,Muscarinic acetylcholine receptor M2
DB01338,Muscarinic acetylcholine receptor M3
DB01339,Neuronal acetylcholine receptor subunit alpha-2
DB01340,Angiotensin-converting enzyme
DB01341,Gamma-aminobutyric acid receptor subunit alpha-1
DB01342,Type-1 angiotensin II receptor
DB01344,Potassium
DB06658,Potassium
DB01345,Sodium/potassium-transporting ATPase subunit alpha-1
DB01346,Gamma-aminobutyric acid receptor subunit alpha-1
DB01346,Gamma-aminobutyric acid receptor subunit alpha-2
DB01346,Sodium channel protein type 5 subunit alpha
DB01346,Potassium channel subfamily K member 1
DB01346,Glutamate receptor 2
DB01347,Type-1 angiotensin II receptor
DB01348,Angiotensin-converting enzyme
DB01349,Type-1 angiotensin II receptor
DB01349,Type-2 angiotensin II receptor
DB01351,Gamma-aminobutyric acid receptor subunit alpha-1
DB01351,Gamma-aminobutyric acid receptor subunit alpha-2
DB01351,Gamma-aminobutyric acid receptor subunit alpha-3
DB01351,Gamma-aminobutyric acid receptor subunit alpha-4
DB01351,Gamma-aminobutyric acid receptor subunit alpha-5
DB01351,Gamma-aminobutyric acid receptor subunit alpha-6
DB01351,Neuronal acetylcholine receptor subunit alpha-4
DB01351,Neuronal acetylcholine receptor subunit alpha-7
DB01351,Glutamate receptor 2
DB01351,"Glutamate receptor ionotropic, kainate 2"
DB01352,Gamma-aminobutyric acid receptor subunit alpha-1
DB01352,Gamma-aminobutyric acid receptor subunit alpha-2
DB01352,Gamma-aminobutyric acid receptor subunit alpha-3
DB01352,Gamma-aminobutyric acid receptor subunit alpha-4
DB01352,Gamma-aminobutyric acid receptor subunit alpha-5
DB01352,Gamma-aminobutyric acid receptor subunit alpha-6
DB01352,Neuronal acetylcholine receptor subunit alpha-4
DB01352,Neuronal acetylcholine receptor subunit alpha-7
DB01352,Glutamate receptor 2
DB01352,"Glutamate receptor ionotropic, kainate 2"
DB01353,Gamma-aminobutyric acid receptor subunit alpha-1
DB01353,Gamma-aminobutyric acid receptor subunit alpha-2
DB01353,Gamma-aminobutyric acid receptor subunit alpha-3
DB01353,Gamma-aminobutyric acid receptor subunit alpha-4
DB01353,Gamma-aminobutyric acid receptor subunit alpha-5
DB01353,Gamma-aminobutyric acid receptor subunit alpha-6
DB01353,Neuronal acetylcholine receptor subunit alpha-4
DB01353,Neuronal acetylcholine receptor subunit alpha-7
DB01353,Glutamate receptor 2
DB01353,"Glutamate receptor ionotropic, kainate 2"
DB01354,Gamma-aminobutyric acid receptor subunit alpha-1
DB01354,Gamma-aminobutyric acid receptor subunit alpha-2
DB01354,Gamma-aminobutyric acid receptor subunit alpha-3
DB01354,Gamma-aminobutyric acid receptor subunit alpha-4
DB01354,Gamma-aminobutyric acid receptor subunit alpha-5
DB01354,Gamma-aminobutyric acid receptor subunit alpha-6
DB01354,Neuronal acetylcholine receptor subunit alpha-4
DB01354,Neuronal acetylcholine receptor subunit alpha-7
DB01354,Glutamate receptor 2
DB01354,"Glutamate receptor ionotropic, kainate 2"
DB01355,Gamma-aminobutyric acid receptor subunit alpha-1
DB01355,Gamma-aminobutyric acid receptor subunit alpha-2
DB01355,Gamma-aminobutyric acid receptor subunit alpha-3
DB01355,Gamma-aminobutyric acid receptor subunit alpha-4
DB01355,Gamma-aminobutyric acid receptor subunit alpha-5
DB01355,Gamma-aminobutyric acid receptor subunit alpha-6
DB01355,Neuronal acetylcholine receptor subunit alpha-4
DB01355,Neuronal acetylcholine receptor subunit alpha-7
DB01355,Glutamate receptor 2
DB01355,"Glutamate receptor ionotropic, kainate 2"
EXPT03301,Gamma-aminobutyric acid receptor subunit alpha-1
EXPT03301,Gamma-aminobutyric acid receptor subunit alpha-2
EXPT03301,Gamma-aminobutyric acid receptor subunit alpha-3
EXPT03301,Gamma-aminobutyric acid receptor subunit alpha-4
EXPT03301,Gamma-aminobutyric acid receptor subunit alpha-5
EXPT03301,Gamma-aminobutyric acid receptor subunit alpha-6
EXPT03301,Neuronal acetylcholine receptor subunit alpha-4
EXPT03301,Neuronal acetylcholine receptor subunit alpha-7
EXPT03301,Glutamate receptor 2
EXPT03301,"Glutamate receptor ionotropic, kainate 2"
DB01356,Glycogen synthase kinase-3 beta
DB01356,Inositol monophosphatase 1
DB01356,Inositol monophosphatase 2
DB01356,Glutamate receptor 3
DB01357,Estrogen receptor alpha
DB01359,Beta-1 adrenergic receptor
DB01359,Beta-2 adrenergic receptor
DB01359,5-hydroxytryptamine receptor 1A
DB01359,5-hydroxytryptamine receptor 1B
DB01363,Sodium-dependent dopamine transporter
DB01363,Sodium-dependent noradrenaline transporter
DB01363,Alpha-2A adrenergic receptor
DB01363,Alpha-2B adrenergic receptor
DB01363,Alpha-2C adrenergic receptor
DB01363,Amine oxidase [flavin-containing] A
DB01363,Amine oxidase [flavin-containing] B
DB01363,Beta-1 adrenergic receptor
DB01363,Beta-2 adrenergic receptor
DB01363,Beta-3 adrenergic receptor
DB01363,Sodium-dependent serotonin transporter
DB01363,Synaptic vesicular amine transporter
DB01363,Chromaffin granule amine transporter
DB01364,Sodium-dependent noradrenaline transporter
DB01364,Alpha-1A adrenergic receptor
DB01364,Beta-1 adrenergic receptor
DB01364,Beta-2 adrenergic receptor
DB01365,Alpha adrenergic receptor
DB01365,Beta adrenergic receptor
DB01366,Beta-2 adrenergic receptor
DB01367,Amine oxidase [flavin-containing] B
DB01367,Apoptosis regulator Bcl-2
EXPT02758,Amine oxidase [flavin-containing] B
EXPT02758,Apoptosis regulator Bcl-2
DB01369,23S ribosomal RNA
DB01369,50S ribosomal protein L10
DB01369,50S ribosomal protein L22
DB01370,Serotransferrin
DB01370,Sodium/potassium-transporting ATPase subunit alpha-1
DB01370,Kallikrein-1
DB01370,Amyloid beta A4 protein
DB11314,Serotransferrin
DB11314,Sodium/potassium-transporting ATPase subunit alpha-1
DB11314,Kallikrein-1
DB11314,Amyloid beta A4 protein
DB01373,Voltage-dependent L-type calcium channel subunit alpha-1C
DB01373,Calcium-transporting ATPase type 2C member 1
DB01373,"Troponin C, skeletal muscle"
DB01373,"Troponin C, slow skeletal and cardiac muscles"
DB01373,"Spectrin beta chain, non-erythrocytic 1"
DB01373,Protein S100-B
DB01373,Calpastatin
DB01373,Cartilage oligomeric matrix protein
DB01373,Calmodulin
DB01373,Amiloride-sensitive amine oxidase [copper-containing]
DB01373,Protein S100-A13
DB01373,"Alkaline phosphatase, placental type"
DB01373,Protein S100-A8
DB01373,Protein S100-A9
DB01373,Protein S100-A2
DB01373,Ceruloplasmin
DB01373,Bone morphogenetic protein 4
DB01373,Matrix Gla protein
DB01373,Protocadherin-19
DB01373,Programmed cell death protein 6
DB01375,"Troponin C, slow skeletal and cardiac muscles"
DB01375,Voltage-dependent anion-selective channel protein 1
DB01375,Voltage-dependent anion-selective channel protein 2
DB01375,Voltage-dependent anion-selective channel protein 3
DB01378,Sodium/potassium-transporting ATPase subunit alpha-1
DB01380,Glucocorticoid receptor
DB01380,Annexin A1
DB01381,Sodium-dependent noradrenaline transporter
DB01381,"Phospholipase A2, membrane associated"
DB01381,Glycine receptor subunit alpha-1
DB01381,Gamma-aminobutyric acid receptor subunit alpha-1
DB01381,Gamma-aminobutyric acid receptor subunit beta-2
DB01381,Gamma-aminobutyric acid receptor subunit gamma-2
DB01381,Amine oxidase [flavin-containing] A
DB01381,"Nitric oxide synthase, inducible"
DB01382,ATP-sensitive inward rectifier potassium channel 1
DB01382,ATP-binding cassette sub-family C member 8
DB01384,Glucocorticoid receptor
DB01388,Voltage-dependent T-type calcium channel subunit alpha-1G
DB01388,Voltage-dependent T-type calcium channel subunit alpha-1H
DB01388,Voltage-dependent L-type calcium channel subunit alpha-1C
DB01388,Voltage-dependent L-type calcium channel subunit alpha-1D
DB01388,Voltage-dependent L-type calcium channel subunit alpha-1F
DB01388,Voltage-dependent T-type calcium channel subunit alpha-1I
DB01388,Voltage-dependent L-type calcium channel subunit alpha-1S
DB01388,Voltage-dependent L-type calcium channel subunit beta-1
DB01388,Voltage-dependent L-type calcium channel subunit beta-2
DB01388,Voltage-dependent L-type calcium channel subunit beta-3
DB01388,Voltage-dependent L-type calcium channel subunit beta-4
DB01390,Hydrogen ions
DB01392,Alpha-2A adrenergic receptor
DB01392,Alpha-2B adrenergic receptor
DB01392,Alpha-2C adrenergic receptor
DB01392,5-hydroxytryptamine receptor 1A
DB01392,5-hydroxytryptamine receptor 1B
DB01392,5-hydroxytryptamine receptor 1D
DB01392,Dopamine D2 receptor
DB01392,Dopamine D3 receptor
DB01392,5-hydroxytryptamine receptor 2A
